duration,duration_pct_pb_20,distance,distance_pct_pb_20,pace,pace_pct_pb_20,elevation_gain,session_load,num_pace_spikes,num_pace_spikes_missing,readiness_score,consistency_score,tsb,age,weight,height,sex,experience_level,injury_index,hr_avg,hr_avg_missing,hr_max,hr_max_missing,zone1,zone1pct,zone1_missing,zone2,zone2pct,zone2_missing,zone3,zone3pct,zone3_missing,zone4,zone4pct,zone4_missing,zone5,zone5pct,zone5_missing,num_hr_spikes,num_hr_spikes_missing,windSpeed10m,temperature2m,uv_index,precipitation,snowDepth,run_type
2943,0.8572161953041709,6.600882985586966,0.775218870575197,5.013913984248105,0.7519693121964718,70.9641061359496,118.0,-1,true,64,0.5347757301666343,15.788795781643763,59,84.7425947239552,168,OTHER,INTERMEDIATE,0.12186561272510583,-1.0,true,-1.0,true,402,0.0,false,871,0.0,false,633,0.0,false,666,0.0,false,370,0.0,false,-1,true,7.558380985943659,6.201628797281561,3,2.572712193888775,0.0,INTERVAL_RUN
1846,0.4734289599096096,2.987462417817059,0.22547867850616798,9.299884375871184,0.5594597137074384,25.54961176573758,11.0,0,false,49,0.7749931183004062,0.7750069392477208,24,92.79171844471628,156,FEMALE,BEGINNER,0.0,144.59788597796316,false,158.04398830672503,false,707,0.0,false,950,1.0,false,189,0.0,false,0,0.0,false,0,0.0,false,0,false,0.9613986097995286,3.2539012329902626,9,0.0,0.0,EASY_RUN
2499,0.2761102328811818,4.0891535221279245,0.27416378037815514,9.061472195116455,0.6814149023064673,7.135552924219382,15.0,1,false,87,0.6915209575767621,-11.416626301844968,25,92.65796305103787,195,MALE,BEGINNER,0.30592753915867443,160.61632295147464,false,159.08009060862744,false,998,0.0,false,1314,1.0,false,188,0.0,false,0,0.0,false,0,0.0,false,0,false,1.6614301615519662,23.22618098646639,0,0.0,0.0,EASY_RUN
3433,0.6965934383035861,8.184289160492787,0.7496096533902376,5.284896494433938,1.2984045381524294,38.125977309873534,99.0,3,false,42,0.47312488382178197,2.348331238151985,18,65.70979046076106,192,FEMALE,INTERMEDIATE,0.0,178.76354895958323,false,187.05018430221716,false,326,0.0,false,1178,0.0,false,1396,0.0,false,366,0.0,false,167,0.0,false,0,false,2.2707200494604636,6.625981589044754,1,0.0,0.0,TEMPO_RUN
3584,0.3102706950409003,4.424284668390858,0.5104127359237549,9.79151684278525,0.6188086871177663,31.061711091150308,28.0,2,false,86,0.9582827946749395,-3.076037451360204,46,93.67485866322366,186,MALE,CASUAL,0.0,176.77451039050123,false,183.59194661376515,false,1368,0.0,false,1874,1.0,false,342,0.0,false,0,0.0,false,0,0.0,false,0,false,4.869900798671914,15.995751089125473,1,0.0,0.0,EASY_RUN
6827,0.8797357410014459,11.289980804882806,1.3766456901550688,8.588683722091531,0.8576548202502209,268.027857765355,140.0,5,false,51,0.3752402531279416,7.254040556642156,40,67.73649828101262,175,MALE,CASUAL,0.5998521579215447,163.12607810866655,false,161.91110735581475,false,1171,0.0,false,4071,1.0,false,1186,0.0,false,243,0.0,false,156,0.0,false,2,false,11.208214943199216,26.38358443635404,0,0.0,0.0,LONG_RUN
9973,0.8875626165438415,25.429808873659454,1.3971040835475692,5.371095294580169,0.8340875558667962,163.02039785702146,201.0,7,false,46,0.634373058643808,-10.669172154781862,47,66.8177630848606,157,MALE,ADVANCED,0.09300989725593514,164.7894541938251,false,185.6441414113345,false,2158,0.0,false,5818,1.0,false,1520,0.0,false,276,0.0,false,201,0.0,false,4,false,10.380393550514416,13.89852226863923,3,0.0,0.0,LONG_RUN
1849,0.4286784028130907,3.5974711734414457,0.8857004378055537,6.783450415585697,0.7439681728035251,23.2450952455985,67.0,5,false,71,0.33273855349447384,11.116015772901825,58,68.06165947288312,161,MALE,CASUAL,0.0,176.77641047550864,false,175.97626616747587,false,316,0.0,false,578,0.0,false,406,0.0,false,322,0.0,false,226,0.0,false,0,false,7.899742643186648,0.6135040907984637,1,0.0,0.6771831793288108,INTERVAL_RUN
4922,0.9066068338526279,6.519239303052526,1.1434229399336462,10.861550801691397,0.6514496442526805,8.458206311437827,85.0,0,false,65,0.8658701381740606,-1.0486685661845314,34,94.21208242020063,179,MALE,BEGINNER,0.0,140.10904159540155,false,149.69562800476086,false,768,0.0,false,3275,1.0,false,649,0.0,false,120,0.0,false,110,0.0,false,1,false,2.834150821693554,-0.10555480793980898,0,4.052425432767305,5.587669256119357,LONG_RUN
409,0.8746040655925672,1.4329596179009025,0.5853658117337852,3.668863178413366,0.791210948683568,3.1582111807665303,150.0,-1,true,68,0.91029732420147,3.5513023294798955,28,67.35057854324822,179,MALE,COMPETITIVE_ATHLETE,0.2507008351860402,176.5978284258229,false,199.0291322685441,false,473,0.0,false,1990,0.0,false,1876,0.0,false,500,0.0,false,296,0.0,false,-1,true,11.385319459754994,23.666420574889607,6,0.0,0.0,INTERVAL_RUN
5292,0.406760771715053,11.210097927562755,0.42809952469978696,8.302305410069323,0.5507689552621773,5.86749451655742,49.0,0,false,44,0.3546478374575111,6.33228678872144,58,94.09267638065594,192,MALE,ADVANCED,0.1179874983822774,192.09140496560065,false,191.10541303300087,false,2325,0.0,false,2450,0.0,false,517,0.0,false,0,0.0,false,0,0.0,false,1,false,10.104415579973555,-3.830218917206372,5,0.0,9.707981612152256,EASY_RUN
671,0.6696846571599795,1.1854229787591357,0.5534215621108851,6.154988081131933,0.8994173786889214,2.173371721044701,26.0,2,false,71,0.754898240129674,-11.306376023243793,18,69.89686619583547,177,OTHER,INTERMEDIATE,0.0,197.77667485204293,false,183.94318762749717,false,104,0.0,false,189,0.0,false,146,0.0,false,152,0.0,false,79,0.0,false,0,false,11.667053024161145,27.484680818788142,4,0.0,0.0,INTERVAL_RUN
1996,0.6759565695631109,3.300892189411353,0.5990712486290404,6.701471262873412,0.8400501485170025,41.984024845094815,82.0,3,false,59,0.3667379340626429,11.331256147703968,29,79.84270287240217,188,FEMALE,CASUAL,0.4890200146762126,163.35332133355422,false,183.27098508501226,false,350,0.0,false,588,0.0,false,374,0.0,false,353,0.0,false,331,0.0,false,0,false,10.20545796949422,24.70086890882577,8,0.0,0.0,INTERVAL_RUN
805,0.5463693546861551,2.084407750087926,0.7573990834386731,4.743921152272128,0.7506603644369435,8.414323213046389,32.0,2,false,17,0.5792492297957151,-4.387370799303355,46,80.28251048802471,186,OTHER,ADVANCED,0.38915800525918726,201.89130174931265,false,189.31669761351088,false,104,0.0,false,276,0.0,false,156,0.0,false,142,0.0,false,127,0.0,false,0,false,1.8228701780901195,2.001574028734047,6,2.565001602516461,0.0,INTERVAL_RUN
